Todesursache;Total_TU;Alter;Todesfälle;Total_AK;Jahr;Geschlecht;Grösse;Kategorie
Diabetes mellitus;1196.0;1-14J;0.0;93.0;1996;Frau;0.0;Diabetes mellitus
Demenz;1476.0;1-14J;0.0;93.0;1996;Frau;0.0;Demenz
Kreislaufsystem;14196.0;1-14J;3.0;93.0;1996;Frau;0.03225806451612903;Kreislaufsystem
Herzkrankheiten  insgesamt;10088.0;1-14J;2.0;93.0;1996;Frau;0.021505376344086023;Kreislaufsystem
Ischämische Herzkrankheiten;5423.0;1-14J;0.0;93.0;1996;Frau;0.0;Kreislaufsystem
Lungenembolie;193.0;1-14J;0.0;93.0;1996;Frau;0.0;Kreislaufsystem
Zerebrovaskuläre Krankheiten;3066.0;1-14J;1.0;93.0;1996;Frau;0.010752688172043012;Kreislaufsystem
Atmungsorgane insgesamt;1694.0;1-14J;2.0;93.0;1996;Frau;0.021505376344086023;Atmungsorgane insgesamt
Grippe;151.0;1-14J;0.0;93.0;1996;Frau;0.0;Atmungsorgane insgesamt
Pneumonie;655.0;1-14J;0.0;93.0;1996;Frau;0.0;Atmungsorgane insgesamt
Chronische Bronchitis;530.0;1-14J;0.0;93.0;1996;Frau;0.0;Atmungsorgane insgesamt
Asthma;118.0;1-14J;1.0;93.0;1996;Frau;0.010752688172043012;Atmungsorgane insgesamt
Alkoholische Leberzirrhose;167.0;1-14J;0.0;93.0;1996;Frau;0.0;Alkoholische Leberzirrhose
Harnorgane;321.0;1-14J;0.0;93.0;1996;Frau;0.0;Harnorgane
Kongenitale Missbildungen;145.0;1-14J;20.0;93.0;1996;Frau;0.21505376344086022;Kongenitale Missbildungen
Perinatale Todesursachen;70.0;1-14J;0.0;93.0;1996;Frau;0.0;Perinatale Todesursachen
Unfälle und Gewalteinwirkungen;1388.0;1-14J;30.0;93.0;1996;Frau;0.3225806451612903;Unfälle und Gewalteinwirkungen
Unfälle insgesamt;896.0;1-14J;25.0;93.0;1996;Frau;0.26881720430107525;Unfälle und Gewalteinwirkungen
Strassenverkehrsunfälle;157.0;1-14J;10.0;93.0;1996;Frau;0.10752688172043011;Unfälle und Gewalteinwirkungen
Suizid;421.0;1-14J;0.0;93.0;1996;Frau;0.0;Unfälle und Gewalteinwirkungen
Infektiöse Krankheiten;365.0;15-44J;119.0;945.0;1996;Frau;0.1259259259259259;Infektiöse Krankheiten
Tuberkulose;18.0;15-44J;0.0;945.0;1996;Frau;0.0;Infektiöse Krankheiten
AIDS;117.0;15-44J;103.0;945.0;1996;Frau;0.10899470899470899;Infektiöse Krankheiten
Bösartige Tumoren;6713.0;15-44J;255.0;945.0;1996;Frau;0.2698412698412698;Bösartige Tumoren
Magen;280.0;15-44J;10.0;945.0;1996;Frau;0.010582010582010581;Bösartige Tumoren
Dickdarm;560.0;15-44J;9.0;945.0;1996;Frau;0.009523809523809525;Bösartige Tumoren
Lunge;581.0;15-44J;24.0;945.0;1996;Frau;0.025396825396825397;Bösartige Tumoren
Brust;1415.0;15-44J;78.0;945.0;1996;Frau;0.08253968253968254;Bösartige Tumoren
Gebärmutterhals;112.0;15-44J;17.0;945.0;1996;Frau;0.01798941798941799;Bösartige Tumoren
Diabetes mellitus;1196.0;15-44J;6.0;945.0;1996;Frau;0.006349206349206349;Diabetes mellitus
Demenz;1476.0;15-44J;0.0;945.0;1996;Frau;0.0;Demenz
Kreislaufsystem;14196.0;15-44J;94.0;945.0;1996;Frau;0.09947089947089947;Kreislaufsystem
Herzkrankheiten  insgesamt;10088.0;15-44J;52.0;945.0;1996;Frau;0.05502645502645503;Kreislaufsystem
Ischämische Herzkrankheiten;5423.0;15-44J;8.0;945.0;1996;Frau;0.008465608465608466;Kreislaufsystem
Lungenembolie;193.0;15-44J;9.0;945.0;1996;Frau;0.009523809523809525;Kreislaufsystem
Zerebrovaskuläre Krankheiten;3066.0;15-44J;31.0;945.0;1996;Frau;0.0328042328042328;Kreislaufsystem
Atmungsorgane insgesamt;1694.0;15-44J;12.0;945.0;1996;Frau;0.012698412698412698;Atmungsorgane insgesamt
Grippe;151.0;15-44J;0.0;945.0;1996;Frau;0.0;Atmungsorgane insgesamt
Pneumonie;655.0;15-44J;5.0;945.0;1996;Frau;0.005291005291005291;Atmungsorgane insgesamt
Chronische Bronchitis;530.0;15-44J;0.0;945.0;1996;Frau;0.0;Atmungsorgane insgesamt
Asthma;118.0;15-44J;4.0;945.0;1996;Frau;0.004232804232804233;Atmungsorgane insgesamt
Alkoholische Leberzirrhose;167.0;15-44J;24.0;945.0;1996;Frau;0.025396825396825397;Alkoholische Leberzirrhose
Harnorgane;321.0;15-44J;4.0;945.0;1996;Frau;0.004232804232804233;Harnorgane
Kongenitale Missbildungen;145.0;15-44J;25.0;945.0;1996;Frau;0.026455026455026454;Kongenitale Missbildungen
Perinatale Todesursachen;70.0;15-44J;0.0;945.0;1996;Frau;0.0;Perinatale Todesursachen
Unfälle und Gewalteinwirkungen;1388.0;15-44J;240.0;945.0;1996;Frau;0.25396825396825395;Unfälle und Gewalteinwirkungen
Unfälle insgesamt;896.0;15-44J;77.0;945.0;1996;Frau;0.08148148148148149;Unfälle und Gewalteinwirkungen
Strassenverkehrsunfälle;157.0;15-44J;44.0;945.0;1996;Frau;0.04656084656084656;Unfälle und Gewalteinwirkungen
Suizid;421.0;15-44J;144.0;945.0;1996;Frau;0.1523809523809524;Unfälle und Gewalteinwirkungen
Infektiöse Krankheiten;365.0;45-64J;27.0;2837.0;1996;Frau;0.009517095523440254;Infektiöse Krankheiten
Tuberkulose;18.0;45-64J;2.0;2837.0;1996;Frau;0.0007049700387733521;Infektiöse Krankheiten
AIDS;117.0;45-64J;8.0;2837.0;1996;Frau;0.0028198801550934085;Infektiöse Krankheiten
Bösartige Tumoren;6713.0;45-64J;1509.0;2837.0;1996;Frau;0.5318998942544941;Bösartige Tumoren
Magen;280.0;45-64J;37.0;2837.0;1996;Frau;0.013041945717307015;Bösartige Tumoren
Dickdarm;560.0;45-64J;80.0;2837.0;1996;Frau;0.028198801550934086;Bösartige Tumoren
Lunge;581.0;45-64J;172.0;2837.0;1996;Frau;0.06062742333450828;Bösartige Tumoren
Brust;1415.0;45-64J;454.0;2837.0;1996;Frau;0.16002819880155095;Bösartige Tumoren
Gebärmutterhals;112.0;45-64J;37.0;2837.0;1996;Frau;0.013041945717307015;Bösartige Tumoren
Diabetes mellitus;1196.0;45-64J;64.0;2837.0;1996;Frau;0.022559041240747268;Diabetes mellitus
Demenz;1476.0;45-64J;10.0;2837.0;1996;Frau;0.0035248501938667607;Demenz
Kreislaufsystem;14196.0;45-64J;443.0;2837.0;1996;Frau;0.1561508635882975;Kreislaufsystem
Herzkrankheiten  insgesamt;10088.0;45-64J;324.0;2837.0;1996;Frau;0.11420514628128305;Kreislaufsystem
Ischämische Herzkrankheiten;5423.0;45-64J;176.0;2837.0;1996;Frau;0.062037363412054986;Kreislaufsystem
Lungenembolie;193.0;45-64J;12.0;2837.0;1996;Frau;0.0042298202326401125;Kreislaufsystem
Zerebrovaskuläre Krankheiten;3066.0;45-64J;90.0;2837.0;1996;Frau;0.031723651744800845;Kreislaufsystem
Atmungsorgane insgesamt;1694.0;45-64J;75.0;2837.0;1996;Frau;0.026436376454000706;Atmungsorgane insgesamt
Grippe;151.0;45-64J;3.0;2837.0;1996;Frau;0.0010574550581600281;Atmungsorgane insgesamt
Pneumonie;655.0;45-64J;9.0;2837.0;1996;Frau;0.003172365174480085;Atmungsorgane insgesamt
Chronische Bronchitis;530.0;45-64J;39.0;2837.0;1996;Frau;0.013746915756080367;Atmungsorgane insgesamt
Asthma;118.0;45-64J;8.0;2837.0;1996;Frau;0.0028198801550934085;Atmungsorgane insgesamt
Alkoholische Leberzirrhose;167.0;45-64J;84.0;2837.0;1996;Frau;0.02960874162848079;Alkoholische Leberzirrhose
Harnorgane;321.0;45-64J;20.0;2837.0;1996;Frau;0.007049700387733521;Harnorgane
Kongenitale Missbildungen;145.0;45-64J;20.0;2837.0;1996;Frau;0.007049700387733521;Kongenitale Missbildungen
Perinatale Todesursachen;70.0;45-64J;0.0;2837.0;1996;Frau;0.0;Perinatale Todesursachen
Unfälle und Gewalteinwirkungen;1388.0;45-64J;237.0;2837.0;1996;Frau;0.08353894959464223;Unfälle und Gewalteinwirkungen
Unfälle insgesamt;896.0;45-64J;71.0;2837.0;1996;Frau;0.025026436376454;Unfälle und Gewalteinwirkungen
Strassenverkehrsunfälle;157.0;45-64J;33.0;2837.0;1996;Frau;0.01163200563976031;Unfälle und Gewalteinwirkungen
Suizid;421.0;45-64J;150.0;2837.0;1996;Frau;0.05287275290800141;Unfälle und Gewalteinwirkungen
Infektiöse Krankheiten;365.0;65-84J;128.0;13551.0;1996;Frau;0.009445797358128552;Infektiöse Krankheiten
Tuberkulose;18.0;65-84J;7.0;13551.0;1996;Frau;0.0005165670430226551;Infektiöse Krankheiten
AIDS;117.0;65-84J;2.0;13551.0;1996;Frau;0.00014759058372075862;Infektiöse Krankheiten
Bösartige Tumoren;6713.0;65-84J;3597.0;13551.0;1996;Frau;0.2654416648217844;Bösartige Tumoren
Magen;280.0;65-84J;157.0;13551.0;1996;Frau;0.011585860822079552;Bösartige Tumoren
Dickdarm;560.0;65-84J;294.0;13551.0;1996;Frau;0.021695815806951516;Bösartige Tumoren
Lunge;581.0;65-84J;330.0;13551.0;1996;Frau;0.02435244631392517;Bösartige Tumoren
Brust;1415.0;65-84J;647.0;13551.0;1996;Frau;0.04774555383366541;Bösartige Tumoren
Gebärmutterhals;112.0;65-84J;49.0;13551.0;1996;Frau;0.003615969301158586;Bösartige Tumoren
Diabetes mellitus;1196.0;65-84J;590.0;13551.0;1996;Frau;0.043539222197623795;Diabetes mellitus
Demenz;1476.0;65-84J;522.0;13551.0;1996;Frau;0.038521142351118;Demenz
Kreislaufsystem;14196.0;65-84J;5748.0;13551.0;1996;Frau;0.42417533761346027;Kreislaufsystem
Herzkrankheiten  insgesamt;10088.0;65-84J;4095.0;13551.0;1996;Frau;0.30219172016825324;Kreislaufsystem
Ischämische Herzkrankheiten;5423.0;65-84J;2410.0;13551.0;1996;Frau;0.17784665338351413;Kreislaufsystem
Lungenembolie;193.0;65-84J;92.0;13551.0;1996;Frau;0.006789166851154897;Kreislaufsystem
Zerebrovaskuläre Krankheiten;3066.0;65-84J;1316.0;13551.0;1996;Frau;0.09711460408825917;Kreislaufsystem
Atmungsorgane insgesamt;1694.0;65-84J;667.0;13551.0;1996;Frau;0.049221459670873;Atmungsorgane insgesamt
Grippe;151.0;65-84J;33.0;13551.0;1996;Frau;0.0024352446313925173;Atmungsorgane insgesamt
Pneumonie;655.0;65-84J;190.0;13551.0;1996;Frau;0.014021105453472068;Atmungsorgane insgesamt
Chronische Bronchitis;530.0;65-84J;286.0;13551.0;1996;Frau;0.02110545347206848;Atmungsorgane insgesamt
Asthma;118.0;65-84J;64.0;13551.0;1996;Frau;0.004722898679064276;Atmungsorgane insgesamt
Alkoholische Leberzirrhose;167.0;65-84J;54.0;13551.0;1996;Frau;0.003984945760460483;Alkoholische Leberzirrhose
Harnorgane;321.0;65-84J;159.0;13551.0;1996;Frau;0.01173345140580031;Harnorgane
Kongenitale Missbildungen;145.0;65-84J;22.0;13551.0;1996;Frau;0.0016234964209283448;Kongenitale Missbildungen
Perinatale Todesursachen;70.0;65-84J;0.0;13551.0;1996;Frau;0.0;Perinatale Todesursachen
Unfälle und Gewalteinwirkungen;1388.0;65-84J;415.0;13551.0;1996;Frau;0.030625046122057412;Unfälle und Gewalteinwirkungen
Unfälle insgesamt;896.0;65-84J;295.0;13551.0;1996;Frau;0.021769611098811897;Unfälle und Gewalteinwirkungen
Strassenverkehrsunfälle;157.0;65-84J;59.0;13551.0;1996;Frau;0.004353922219762379;Unfälle und Gewalteinwirkungen
Suizid;421.0;65-84J;101.0;13551.0;1996;Frau;0.00745332447789831;Unfälle und Gewalteinwirkungen
Infektiöse Krankheiten;365.0;85+;83.0;14277.0;1996;Frau;0.005813546263220564;Infektiöse Krankheiten
Tuberkulose;18.0;85+;9.0;14277.0;1996;Frau;0.0006303845345660853;Infektiöse Krankheiten
AIDS;117.0;85+;1.0;14277.0;1996;Frau;7.004272606289837e-05;Infektiöse Krankheiten
Bösartige Tumoren;6713.0;85+;1343.0;14277.0;1996;Frau;0.09406738110247251;Bösartige Tumoren
Magen;280.0;85+;76.0;14277.0;1996;Frau;0.005323247180780276;Bösartige Tumoren
Dickdarm;560.0;85+;177.0;14277.0;1996;Frau;0.012397562513133011;Bösartige Tumoren
Lunge;581.0;85+;55.0;14277.0;1996;Frau;0.00385234993345941;Bösartige Tumoren
Brust;1415.0;85+;236.0;14277.0;1996;Frau;0.016530083350844015;Bösartige Tumoren
Gebärmutterhals;112.0;85+;9.0;14277.0;1996;Frau;0.0006303845345660853;Bösartige Tumoren
Diabetes mellitus;1196.0;85+;536.0;14277.0;1996;Frau;0.037542901169713525;Diabetes mellitus
Demenz;1476.0;85+;944.0;14277.0;1996;Frau;0.06612033340337606;Demenz
Kreislaufsystem;14196.0;85+;7905.0;14277.0;1996;Frau;0.5536877495272116;Kreislaufsystem
Herzkrankheiten  insgesamt;10088.0;85+;5612.0;14277.0;1996;Frau;0.39307977866498567;Kreislaufsystem
Ischämische Herzkrankheiten;5423.0;85+;2829.0;14277.0;1996;Frau;0.19815087203193948;Kreislaufsystem
Lungenembolie;193.0;85+;80.0;14277.0;1996;Frau;0.005603418085031869;Kreislaufsystem
Zerebrovaskuläre Krankheiten;3066.0;85+;1628.0;14277.0;1996;Frau;0.11402955803039855;Kreislaufsystem
Atmungsorgane insgesamt;1694.0;85+;936.0;14277.0;1996;Frau;0.06555999159487287;Atmungsorgane insgesamt
Grippe;151.0;85+;115.0;14277.0;1996;Frau;0.008054913497233312;Atmungsorgane insgesamt
Pneumonie;655.0;85+;449.0;14277.0;1996;Frau;0.031449184002241365;Atmungsorgane insgesamt
Chronische Bronchitis;530.0;85+;205.0;14277.0;1996;Frau;0.014358758842894165;Atmungsorgane insgesamt
Asthma;118.0;85+;41.0;14277.0;1996;Frau;0.002871751768578833;Atmungsorgane insgesamt
Alkoholische Leberzirrhose;167.0;85+;5.0;14277.0;1996;Frau;0.00035021363031449183;Alkoholische Leberzirrhose
Harnorgane;321.0;85+;138.0;14277.0;1996;Frau;0.009665896196679975;Harnorgane
Kongenitale Missbildungen;145.0;85+;3.0;14277.0;1996;Frau;0.0002101281781886951;Kongenitale Missbildungen
Perinatale Todesursachen;70.0;85+;0.0;14277.0;1996;Frau;0.0;Perinatale Todesursachen
Unfälle und Gewalteinwirkungen;1388.0;85+;463.0;14277.0;1996;Frau;0.032429782167121946;Unfälle und Gewalteinwirkungen
Unfälle insgesamt;896.0;85+;426.0;14277.0;1996;Frau;0.029838201302794704;Unfälle und Gewalteinwirkungen
Strassenverkehrsunfälle;157.0;85+;10.0;14277.0;1996;Frau;0.0007004272606289837;Unfälle und Gewalteinwirkungen
Suizid;421.0;85+;26.0;14277.0;1996;Frau;0.0018211108776353575;Unfälle und Gewalteinwirkungen
Infektiöse Krankheiten;370.0;0-1J;2.0;186.0;1997;Frau;0.010752688172043012;Infektiöse Krankheiten
Tuberkulose;18.0;0-1J;0.0;186.0;1997;Frau;0.0;Infektiöse Krankheiten
AIDS;79.0;0-1J;0.0;186.0;1997;Frau;0.0;Infektiöse Krankheiten
Bösartige Tumoren;6852.0;0-1J;2.0;186.0;1997;Frau;0.010752688172043012;Bösartige Tumoren
Magen;269.0;0-1J;0.0;186.0;1997;Frau;0.0;Bösartige Tumoren
Dickdarm;582.0;0-1J;0.0;186.0;1997;Frau;0.0;Bösartige Tumoren
Lunge;592.0;0-1J;0.0;186.0;1997;Frau;0.0;Bösartige Tumoren
Brust;1436.0;0-1J;0.0;186.0;1997;Frau;0.0;Bösartige Tumoren
Gebärmutterhals;93.0;0-1J;0.0;186.0;1997;Frau;0.0;Bösartige Tumoren
Diabetes mellitus;1027.0;0-1J;0.0;186.0;1997;Frau;0.0;Diabetes mellitus
Demenz;1545.0;0-1J;0.0;186.0;1997;Frau;0.0;Demenz
Kreislaufsystem;14272.0;0-1J;2.0;186.0;1997;Frau;0.010752688172043012;Kreislaufsystem
Herzkrankheiten  insgesamt;10206.0;0-1J;2.0;186.0;1997;Frau;0.010752688172043012;Kreislaufsystem
Ischämische Herzkrankheiten;5415.0;0-1J;0.0;186.0;1997;Frau;0.0;Kreislaufsystem
Lungenembolie;264.0;0-1J;0.0;186.0;1997;Frau;0.0;Kreislaufsystem
Zerebrovaskuläre Krankheiten;3020.0;0-1J;0.0;186.0;1997;Frau;0.0;Kreislaufsystem
Atmungsorgane insgesamt;2085.0;0-1J;2.0;186.0;1997;Frau;0.010752688172043012;Atmungsorgane insgesamt
Grippe;215.0;0-1J;0.0;186.0;1997;Frau;0.0;Atmungsorgane insgesamt
Pneumonie;925.0;0-1J;1.0;186.0;1997;Frau;0.005376344086021506;Atmungsorgane insgesamt
Chronische Bronchitis;553.0;0-1J;0.0;186.0;1997;Frau;0.0;Atmungsorgane insgesamt
Asthma;122.0;0-1J;0.0;186.0;1997;Frau;0.0;Atmungsorgane insgesamt
Alkoholische Leberzirrhose;146.0;0-1J;0.0;186.0;1997;Frau;0.0;Alkoholische Leberzirrhose
Harnorgane;341.0;0-1J;0.0;186.0;1997;Frau;0.0;Harnorgane
Kongenitale Missbildungen;136.0;0-1J;66.0;186.0;1997;Frau;0.3548387096774194;Kongenitale Missbildungen
Perinatale Todesursachen;85.0;0-1J;80.0;186.0;1997;Frau;0.43010752688172044;Perinatale Todesursachen
Unfälle und Gewalteinwirkungen;1294.0;0-1J;1.0;186.0;1997;Frau;0.005376344086021506;Unfälle und Gewalteinwirkungen
Unfälle insgesamt;849.0;0-1J;1.0;186.0;1997;Frau;0.005376344086021506;Unfälle und Gewalteinwirkungen
Strassenverkehrsunfälle;140.0;0-1J;0.0;186.0;1997;Frau;0.0;Unfälle und Gewalteinwirkungen
Suizid;378.0;0-1J;0.0;186.0;1997;Frau;0.0;Unfälle und Gewalteinwirkungen
Infektiöse Krankheiten;370.0;1-14J;8.0;94.0;1997;Frau;0.0851063829787234;Infektiöse Krankheiten
Tuberkulose;18.0;1-14J;0.0;94.0;1997;Frau;0.0;Infektiöse Krankheiten
AIDS;79.0;1-14J;3.0;94.0;1997;Frau;0.031914893617021274;Infektiöse Krankheiten
Bösartige Tumoren;6852.0;1-14J;11.0;94.0;1997;Frau;0.11702127659574468;Bösartige Tumoren
Magen;269.0;1-14J;1.0;94.0;1997;Frau;0.010638297872340425;Bösartige Tumoren
Dickdarm;582.0;1-14J;0.0;94.0;1997;Frau;0.0;Bösartige Tumoren
Lunge;592.0;1-14J;0.0;94.0;1997;Frau;0.0;Bösartige Tumoren
Brust;1436.0;1-14J;0.0;94.0;1997;Frau;0.0;Bösartige Tumoren
Gebärmutterhals;93.0;1-14J;0.0;94.0;1997;Frau;0.0;Bösartige Tumoren
Diabetes mellitus;1027.0;1-14J;0.0;94.0;1997;Frau;0.0;Diabetes mellitus
Demenz;1545.0;1-14J;0.0;94.0;1997;Frau;0.0;Demenz
Kreislaufsystem;14272.0;1-14J;4.0;94.0;1997;Frau;0.0425531914893617;Kreislaufsystem
Herzkrankheiten  insgesamt;10206.0;1-14J;4.0;94.0;1997;Frau;0.0425531914893617;Kreislaufsystem
Ischämische Herzkrankheiten;5415.0;1-14J;0.0;94.0;1997;Frau;0.0;Kreislaufsystem
Lungenembolie;264.0;1-14J;1.0;94.0;1997;Frau;0.010638297872340425;Kreislaufsystem
Zerebrovaskuläre Krankheiten;3020.0;1-14J;0.0;94.0;1997;Frau;0.0;Kreislaufsystem
Atmungsorgane insgesamt;2085.0;1-14J;4.0;94.0;1997;Frau;0.0425531914893617;Atmungsorgane insgesamt
Grippe;215.0;1-14J;0.0;94.0;1997;Frau;0.0;Atmungsorgane insgesamt
Pneumonie;925.0;1-14J;3.0;94.0;1997;Frau;0.031914893617021274;Atmungsorgane insgesamt
Chronische Bronchitis;553.0;1-14J;0.0;94.0;1997;Frau;0.0;Atmungsorgane insgesamt
Asthma;122.0;1-14J;0.0;94.0;1997;Frau;0.0;Atmungsorgane insgesamt
Alkoholische Leberzirrhose;146.0;1-14J;0.0;94.0;1997;Frau;0.0;Alkoholische Leberzirrhose
Harnorgane;341.0;1-14J;0.0;94.0;1997;Frau;0.0;Harnorgane
Kongenitale Missbildungen;136.0;1-14J;14.0;94.0;1997;Frau;0.14893617021276595;Kongenitale Missbildungen
Perinatale Todesursachen;85.0;1-14J;5.0;94.0;1997;Frau;0.05319148936170213;Perinatale Todesursachen
Unfälle und Gewalteinwirkungen;1294.0;1-14J;27.0;94.0;1997;Frau;0.2872340425531915;Unfälle und Gewalteinwirkungen
Unfälle insgesamt;849.0;1-14J;24.0;94.0;1997;Frau;0.2553191489361702;Unfälle und Gewalteinwirkungen
Strassenverkehrsunfälle;140.0;1-14J;10.0;94.0;1997;Frau;0.10638297872340426;Unfälle und Gewalteinwirkungen
Suizid;378.0;1-14J;1.0;94.0;1997;Frau;0.010638297872340425;Unfälle und Gewalteinwirkungen
Infektiöse Krankheiten;370.0;15-44J;89.0;863.0;1997;Frau;0.10312862108922363;Infektiöse Krankheiten
Tuberkulose;18.0;15-44J;0.0;863.0;1997;Frau;0.0;Infektiöse Krankheiten
AIDS;79.0;15-44J;68.0;863.0;1997;Frau;0.07879490150637311;Infektiöse Krankheiten
Bösartige Tumoren;6852.0;15-44J;244.0;863.0;1997;Frau;0.2827346465816918;Bösartige Tumoren
Magen;269.0;15-44J;11.0;863.0;1997;Frau;0.012746234067207415;Bösartige Tumoren
Dickdarm;582.0;15-44J;11.0;863.0;1997;Frau;0.012746234067207415;Bösartige Tumoren
Lunge;592.0;15-44J;22.0;863.0;1997;Frau;0.02549246813441483;Bösartige Tumoren
Brust;1436.0;15-44J;69.0;863.0;1997;Frau;0.07995365005793743;Bösartige Tumoren
Gebärmutterhals;93.0;15-44J;4.0;863.0;1997;Frau;0.004634994206257242;Bösartige Tumoren
Diabetes mellitus;1027.0;15-44J;3.0;863.0;1997;Frau;0.0034762456546929316;Diabetes mellitus
Demenz;1545.0;15-44J;0.0;863.0;1997;Frau;0.0;Demenz
Kreislaufsystem;14272.0;15-44J;80.0;863.0;1997;Frau;0.09269988412514485;Kreislaufsystem
Herzkrankheiten  insgesamt;10206.0;15-44J;58.0;863.0;1997;Frau;0.06720741599073002;Kreislaufsystem
Ischämische Herzkrankheiten;5415.0;15-44J;15.0;863.0;1997;Frau;0.01738122827346466;Kreislaufsystem
Lungenembolie;264.0;15-44J;8.0;863.0;1997;Frau;0.009269988412514484;Kreislaufsystem
Zerebrovaskuläre Krankheiten;3020.0;15-44J;18.0;863.0;1997;Frau;0.02085747392815759;Kreislaufsystem
Atmungsorgane insgesamt;2085.0;15-44J;19.0;863.0;1997;Frau;0.0220162224797219;Atmungsorgane insgesamt
Grippe;215.0;15-44J;1.0;863.0;1997;Frau;0.0011587485515643105;Atmungsorgane insgesamt
Pneumonie;925.0;15-44J;10.0;863.0;1997;Frau;0.011587485515643106;Atmungsorgane insgesamt
Chronische Bronchitis;553.0;15-44J;1.0;863.0;1997;Frau;0.0011587485515643105;Atmungsorgane insgesamt
Asthma;122.0;15-44J;3.0;863.0;1997;Frau;0.0034762456546929316;Atmungsorgane insgesamt
Alkoholische Leberzirrhose;146.0;15-44J;12.0;863.0;1997;Frau;0.013904982618771726;Alkoholische Leberzirrhose
Harnorgane;341.0;15-44J;2.0;863.0;1997;Frau;0.002317497103128621;Harnorgane
Kongenitale Missbildungen;136.0;15-44J;15.0;863.0;1997;Frau;0.01738122827346466;Kongenitale Missbildungen
Perinatale Todesursachen;85.0;15-44J;0.0;863.0;1997;Frau;0.0;Perinatale Todesursachen
Unfälle und Gewalteinwirkungen;1294.0;15-44J;242.0;863.0;1997;Frau;0.28041714947856317;Unfälle und Gewalteinwirkungen
Unfälle insgesamt;849.0;15-44J;97.0;863.0;1997;Frau;0.11239860950173812;Unfälle und Gewalteinwirkungen
Strassenverkehrsunfälle;140.0;15-44J;56.0;863.0;1997;Frau;0.06488991888760139;Unfälle und Gewalteinwirkungen
Suizid;378.0;15-44J;123.0;863.0;1997;Frau;0.1425260718424102;Unfälle und Gewalteinwirkungen
Infektiöse Krankheiten;370.0;45-64J;36.0;2903.0;1997;Frau;0.012400964519462624;Infektiöse Krankheiten
Tuberkulose;18.0;45-64J;2.0;2903.0;1997;Frau;0.0006889424733034792;Infektiöse Krankheiten
AIDS;79.0;45-64J;8.0;2903.0;1997;Frau;0.002755769893213917;Infektiöse Krankheiten
Bösartige Tumoren;6852.0;45-64J;1541.0;2903.0;1997;Frau;0.5308301756803306;Bösartige Tumoren
Magen;269.0;45-64J;40.0;2903.0;1997;Frau;0.013778849466069583;Bösartige Tumoren
Dickdarm;582.0;45-64J;92.0;2903.0;1997;Frau;0.03169135377196004;Bösartige Tumoren
Lunge;592.0;45-64J;193.0;2903.0;1997;Frau;0.06648294867378574;Bösartige Tumoren
Brust;1436.0;45-64J;463.0;2903.0;1997;Frau;0.15949018256975542;Bösartige Tumoren
Gebärmutterhals;93.0;45-64J;33.0;2903.0;1997;Frau;0.011367550809507406;Bösartige Tumoren
Diabetes mellitus;1027.0;45-64J;48.0;2903.0;1997;Frau;0.0165346193592835;Diabetes mellitus
Demenz;1545.0;45-64J;6.0;2903.0;1997;Frau;0.0020668274199104374;Demenz
Kreislaufsystem;14272.0;45-64J;500.0;2903.0;1997;Frau;0.17223561832586978;Kreislaufsystem
Herzkrankheiten  insgesamt;10206.0;45-64J;362.0;2903.0;1997;Frau;0.12469858766792973;Kreislaufsystem
Ischämische Herzkrankheiten;5415.0;45-64J;188.0;2903.0;1997;Frau;0.06476059249052704;Kreislaufsystem
Lungenembolie;264.0;45-64J;20.0;2903.0;1997;Frau;0.006889424733034792;Kreislaufsystem
Zerebrovaskuläre Krankheiten;3020.0;45-64J;104.0;2903.0;1997;Frau;0.035825008611780916;Kreislaufsystem
Atmungsorgane insgesamt;2085.0;45-64J;87.0;2903.0;1997;Frau;0.029968997588701342;Atmungsorgane insgesamt
Grippe;215.0;45-64J;3.0;2903.0;1997;Frau;0.0010334137099552187;Atmungsorgane insgesamt
Pneumonie;925.0;45-64J;16.0;2903.0;1997;Frau;0.005511539786427834;Atmungsorgane insgesamt
Chronische Bronchitis;553.0;45-64J;37.0;2903.0;1997;Frau;0.012745435756114365;Atmungsorgane insgesamt
Asthma;122.0;45-64J;16.0;2903.0;1997;Frau;0.005511539786427834;Atmungsorgane insgesamt
Alkoholische Leberzirrhose;146.0;45-64J;81.0;2903.0;1997;Frau;0.027902170168790905;Alkoholische Leberzirrhose
Harnorgane;341.0;45-64J;22.0;2903.0;1997;Frau;0.007578367206338271;Harnorgane
Kongenitale Missbildungen;136.0;45-64J;21.0;2903.0;1997;Frau;0.007233895969686531;Kongenitale Missbildungen
Perinatale Todesursachen;85.0;45-64J;0.0;2903.0;1997;Frau;0.0;Perinatale Todesursachen
Unfälle und Gewalteinwirkungen;1294.0;45-64J;208.0;2903.0;1997;Frau;0.07165001722356183;Unfälle und Gewalteinwirkungen
Unfälle insgesamt;849.0;45-64J;66.0;2903.0;1997;Frau;0.022735101619014812;Unfälle und Gewalteinwirkungen
Strassenverkehrsunfälle;140.0;45-64J;26.0;2903.0;1997;Frau;0.008956252152945229;Unfälle und Gewalteinwirkungen
Suizid;378.0;45-64J;116.0;2903.0;1997;Frau;0.03995866345160179;Unfälle und Gewalteinwirkungen
Infektiöse Krankheiten;370.0;65-84J;127.0;13390.0;1997;Frau;0.009484690067214339;Infektiöse Krankheiten
